자율	에너지 자립률 높이기 위한 다양한 인센티브 제공 에너지 자립률 높이기 위한 다양한 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지자립마을	자율	인증’을 취득한 마을이 탄생했다. 한국에너지공단은 7일 충청북도 청주 강서생태마을에서 ‘에너지자립마을 자율인증제 현판식’을 개최했다. 현판식에는 고재영 한국에너지공단 신재생에너지센
자율	 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지자립마을 자율인증’을 취득한 마을이 탄생했다. 한국에너지공단은 7일 충청북도 청주 강서생태마을에서 ‘에너지자립마을	자율	인증제 현판식’을 개최했다. 현판식에는 고재영 한국에너지공단 신재생에너지센터 소장과 충청북도 이장섭 정무부지사, 청주시 이범석 부시장, 충청북도 이광희 의원, 마을주민 등이 참석해
자율	 한국에너지공단 신재생에너지센터 소장과 충청북도 이장섭 정무부지사, 청주시 이범석 부시장, 충청북도 이광희 의원, 마을주민 등이 참석해 청주 강서생태마을의 ‘제1호 에너지자립마을	자율	인증 취득’을 기념했다. 에너지공단은 작년 전국 11개 광역지자체 및 40개 지방자치단체에서 인증을 신청한 73개 마을에 대해 서면평가 및 현장실사, 평가위원회를
자율	컨설팅 및 보조금 우선지원 등 에너지 자립률을 높이기 위한 다양한 인센티브를 제공한다. 충청북도 이장섭 정무부지사는 “‘생명과 태양의 땅’인 충청북도에서 에너지자립마을	자율	인증 1호 사업 현판식을 하게 돼 기쁘게 생각한다”며 “강서생태마을을 친환경에너지 정책과 연계시켜 교육·체험·관광의 중심지로 거듭날 수 있도록 적극 지원하겠다”고 밝혔다.
자율	예산은 전년보다 대폭 증가한 1900억원이 편성된 만큼 융복합지원사업 등 다양한 보급사업을 토대로 에너지자립마을 발굴을 위해 적극 노력할 것”이라고 말했다. 에너지자립마을	자율	인증제는 마을의 에너지 자립률에 따라 등급을 부여해 각종 인센티브를 지원하는 제도다. 유휴공간에 공동 태양광 발전소를 설치·운영하는 등 에너지 자립률을 높이고
자립	에너지공단, ‘청주 강서생태마을’에 첫 인증서 수여 에너지	자립	률 높이기 위한 다양한 인센티브 제공 에너지 자립률 높이기 위한 다양한 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지자립마을 자율인증’을
자립	에너지공단, ‘청주 강서생태마을’에 첫 인증서 수여 에너지 자립률 높이기 위한 다양한 인센티브 제공 에너지	자립	률 높이기 위한 다양한 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지자립마을 자율인증’을 취득한 마을이 탄생했다. 한국에너지공단은 7일 충청북도 청주
자립	에너지 자립률 높이기 위한 다양한 인센티브 제공 에너지 자립률 높이기 위한 다양한 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지	자립	마을 자율인증’을 취득한 마을이 탄생했다. 한국에너지공단은 7일 충청북도 청주 강서생태마을에서 ‘에너지자립마을 자율인증제 현판식’을 개최했다. 현판식에는 고재영 한국에너지공단 신재
자립	한 다양한 인센티브 제공 [에너지데일리 변국영 기자] 국내 최초의 ‘에너지자립마을 자율인증’을 취득한 마을이 탄생했다. 한국에너지공단은 7일 충청북도 청주 강서생태마을에서 ‘에너지	자립	마을 자율인증제 현판식’을 개최했다. 현판식에는 고재영 한국에너지공단 신재생에너지센터 소장과 충청북도 이장섭 정무부지사, 청주시 이범석 부시장, 충청북도 이광희 의원, 마을주민 등
자립	고재영 한국에너지공단 신재생에너지센터 소장과 충청북도 이장섭 정무부지사, 청주시 이범석 부시장, 충청북도 이광희 의원, 마을주민 등이 참석해 청주 강서생태마을의 ‘제1호 에너지	자립	마을 자율인증 취득’을 기념했다. 에너지공단은 작년 전국 11개 광역지자체 및 40개 지방자치단체에서 인증을 신청한 73개 마을에 대해 서면평가 및 현장실사,
자립	광역지자체 및 40개 지방자치단체에서 인증을 신청한 73개 마을에 대해 서면평가 및 현장실사, 평가위원회를 거쳐 강서생태마을을 포함한 총 26개 마을을 에너지	자립	마을로 선정했고 각 마을에 현판 및 인증서를 수여할 예정이다. 인증을 취득한 마을에는 지자체 및 지역주민과의 협업을 통해 교육·홍보, 컨설팅 및
자립	현판 및 인증서를 수여할 예정이다. 인증을 취득한 마을에는 지자체 및 지역주민과의 협업을 통해 교육·홍보, 컨설팅 및 보조금 우선지원 등 에너지	자립	률을 높이기 위한 다양한 인센티브를 제공한다. 충청북도 이장섭 정무부지사는 “‘생명과 태양의 땅’인 충청북도에서 에너지자립마을 자율인증 1호 사업 현판식을 하게 돼
자립	컨설팅 및 보조금 우선지원 등 에너지 자립률을 높이기 위한 다양한 인센티브를 제공한다. 충청북도 이장섭 정무부지사는 “‘생명과 태양의 땅’인 충청북도에서 에너지	자립	마을 자율인증 1호 사업 현판식을 하게 돼 기쁘게 생각한다”며 “강서생태마을을 친환경에너지 정책과 연계시켜 교육·체험·관광의 중심지로 거듭날 수 있도록 적극 지원하겠다”고
자립	고재영 에너지공단 고재영 신재생에너지센터 소장은 “2030년까지 재생에너지 발전비중 20% 달성을 위해 국민이 체감하고 참여할 수 있는 방법 중 하나가 ‘에너지	자립	마을 만들기’이며 이런 점에서 강서생태마을의 에너지자립마을 인증은 매우 뜻깊다”며 “신재생에너지 보급지원 예산은 전년보다 대폭 증가한 1900억원이 편성된 만큼 융복합지원사업 등
자립	“2030년까지 재생에너지 발전비중 20% 달성을 위해 국민이 체감하고 참여할 수 있는 방법 중 하나가 ‘에너지자립마을 만들기’이며 이런 점에서 강서생태마을의 에너지	자립	마을 인증은 매우 뜻깊다”며 “신재생에너지 보급지원 예산은 전년보다 대폭 증가한 1900억원이 편성된 만큼 융복합지원사업 등 다양한 보급사업을 토대로 에너지자립마을 발굴을
자립	강서생태마을의 에너지자립마을 인증은 매우 뜻깊다”며 “신재생에너지 보급지원 예산은 전년보다 대폭 증가한 1900억원이 편성된 만큼 융복합지원사업 등 다양한 보급사업을 토대로 에너지	자립	마을 발굴을 위해 적극 노력할 것”이라고 말했다. 에너지자립마을 자율인증제는 마을의 에너지 자립률에 따라 등급을 부여해 각종 인센티브를 지원하는 제도다. 유휴공간에
자립	예산은 전년보다 대폭 증가한 1900억원이 편성된 만큼 융복합지원사업 등 다양한 보급사업을 토대로 에너지자립마을 발굴을 위해 적극 노력할 것”이라고 말했다. 에너지	자립	마을 자율인증제는 마을의 에너지 자립률에 따라 등급을 부여해 각종 인센티브를 지원하는 제도다. 유휴공간에 공동 태양광 발전소를 설치·운영하는 등 에너지 자립률을
자립	증가한 1900억원이 편성된 만큼 융복합지원사업 등 다양한 보급사업을 토대로 에너지자립마을 발굴을 위해 적극 노력할 것”이라고 말했다. 에너지자립마을 자율인증제는 마을의 에너지	자립	률에 따라 등급을 부여해 각종 인센티브를 지원하는 제도다. 유휴공간에 공동 태양광 발전소를 설치·운영하는 등 에너지 자립률을 높이고 에너지 복지를 구현해
자립	말했다. 에너지자립마을 자율인증제는 마을의 에너지 자립률에 따라 등급을 부여해 각종 인센티브를 지원하는 제도다. 유휴공간에 공동 태양광 발전소를 설치·운영하는 등 에너지	자립	률을 높이고 에너지 복지를 구현해 지역 내 교육·관광·문화 등 자원과 연계를 통한 신재생에너지 브랜드화를 목표로 한다. 저작권자 © 에너지데일리 무단전재
